N,Integration Value
10,3.3129773946677745
20,3.346061475051237
30,3.1733939397663504
40,3.257201024957844
50,3.1464709424609794
60,3.132410674725442
70,3.257098093881034
80,3.029445461241969
90,3.1783851291258434
100,3.1629486492271384
110,3.129700608244946
120,3.229791848551792
130,3.0568179184182065
140,3.1292324612341487
150,3.081943223649024
160,3.1470222195270163
170,3.2457117930327053
180,3.2209472741921683
190,3.1587813787507453
200,3.114457194323366
210,3.108614085224325
220,3.181287188946145
230,3.1747157014704332
240,3.1266839351718714
250,3.1460715323022836
260,3.118287549549705
270,3.111707745295808
280,3.16435355563119
290,3.148091782883732
300,3.13571327549605
310,3.1335131650485084
320,3.1772118603568527
330,3.17704514311719
340,3.1307173567834754
350,3.145688637732755
360,3.151428814434141
370,3.1088313775652487
380,3.132537090037358
390,3.1406394764273298
400,3.0801129475285522
410,3.1761040661980515
420,3.169064773733948
430,3.1622573422464346
440,3.1382638915915124
450,3.169074253506104
460,3.1698932182395425
470,3.1125666365501594
480,3.161125134938383
490,3.1309835428663915
500,3.132656013122033
510,3.127673766631137
520,3.1596956495123947
530,3.112990047340849
540,3.178921387653391
550,3.07829271252211
560,3.142591628378708
570,3.155840536716182
580,3.1100915180058752
590,3.1427619903812984
600,3.125249720076294
610,3.180498385106433
620,3.1762399463628634
630,3.1510099620767584
640,3.164494817664457
650,3.164518182271707
660,3.138822536766274
670,3.132715025099763
680,3.11590836625651
690,3.1214878909492554
700,3.160420043021161
710,3.099937564049601
720,3.118579076503872
730,3.142656713649166
740,3.142256434950683
750,3.124484280963729
760,3.160875500879705
770,3.1391927082631286
780,3.12806472693083
790,3.158027194893456
800,3.211081842543984
810,3.144770304355405
820,3.114624004981641
830,3.1177446407743856
840,3.18239636602429
850,3.145374360180874
860,3.096154646481204
870,3.1012756271601667
880,3.1276664173652353
890,3.139896165752867
900,3.143746204522594
910,3.1284105434012974
920,3.1500108993528597
930,3.1265012621783965
940,3.136874576379137
950,3.14693393095291
960,3.128647175776236
970,3.1424851656704726
980,3.1328206829507623
990,3.119965536856608
1000,3.1175148749227306
1010,3.1173678575745694
1020,3.1505252990463295
1030,3.1603766021590034
1040,3.105194561043865
1050,3.1410148201672046
1060,3.10272597108444
1070,3.1340708943414697
1080,3.1234649947181867
1090,3.147029453704532
1100,3.16663055814983
1110,3.1719401785393804
1120,3.112703926993415
1130,3.1677649736216535
1140,3.1405880595296027
1150,3.134246812143044
1160,3.132392876073612
1170,3.145987745511257
1180,3.1188188069187435
1190,3.1565186479774296
1200,3.1432064459747653
1210,3.115780893324973
1220,3.0948876514892545
1230,3.1551021141461986
1240,3.143402002997474
1250,3.1056428929959607
1260,3.1417559766535548
1270,3.1160397574507783
1280,3.140765812060814
1290,3.152757507758075
1300,3.1396689654373944
1310,3.142109515705524
1320,3.131660606109194
1330,3.1321896291585944
1340,3.1326786624959
1350,3.169213784055653
1360,3.124872221431403
1370,3.1475619533814734
1380,3.143466349305129
1390,3.1207909313636892
1400,3.1291786961230152
1410,3.166125917759919
1420,3.1900194988822377
1430,3.158358060329444
1440,3.143765986202738
1450,3.130917437320233
1460,3.1273193340877734
1470,3.128079270799086
1480,3.1402314470821957
1490,3.1544333580474717
1500,3.129118453510479
1510,3.1612549272806176
1520,3.1493388870719627
1530,3.1385494717642763
1540,3.1491953522969105
1550,3.1231061242680425
1560,3.1425080469511624
1570,3.1411201033224265
1580,3.120472036251634
1590,3.14817415480513
1600,3.152435040649526
1610,3.1516150425677862
1620,3.1439865955732578
1630,3.119615525122976
1640,3.1647872948218576
1650,3.1697184882151386
1660,3.1330944958916955
1670,3.145833188540601
1680,3.148754706044266
1690,3.1353998131346072
1700,3.152486610340517
1710,3.160044051612714
1720,3.140177672163333
1730,3.1382585147251585
1740,3.1459755654882793
1750,3.1264055839747456
1760,3.1256840171832683
1770,3.117727115793396
1780,3.1515433180013805
1790,3.1709029469553047
1800,3.1269954830794298
1810,3.114326036503804
1820,3.168033854374507
1830,3.150150376337427
1840,3.1218046558582278
1850,3.133115069215289
1860,3.151176562831082
1870,3.133405760795722
1880,3.159443218584162
1890,3.1408632052917596
1900,3.143763516160607
1910,3.107507199957632
1920,3.155478401498041
1930,3.1418236799673718
1940,3.1248974189171514
1950,3.160812631151576
1960,3.1278141276455402
1970,3.1376576585341756
1980,3.149609671766868
1990,3.1215009991483886
2000,3.1745818427725228
2010,3.169863744463129
2020,3.152162921982823
2030,3.148455084201753
2040,3.1518252804467886
2050,3.131030417717619
2060,3.1565956292746553
2070,3.110160432962684
2080,3.15747302223661
2090,3.1267313700379753
2100,3.1328325745820593
2110,3.154997977325239
2120,3.1343556263681673
2130,3.1267673009532624
2140,3.1349336528155094
2150,3.125513048087078
2160,3.130861846145773
2170,3.1487093905307986
2180,3.1534301424956532
2190,3.154630149138205
2200,3.139813388463899
2210,3.161869842924433
